#a,e,i,H,diameter,BV,UB
2.542637827,0.09369025,14.32935964,10.37,21.91,0.831,0.396
2.726128859,0.374127218,10.09906098,12,,,
2.909266057,0.197376411,12.47508413,10.14,27.69,0.676,0.255
2.474267334,0.162323656,11.55752791,11.74,18.78,0.86,0.39
2.223678984,0.221656515,3.446714225,11.35,,0.901,0.546
2.447071112,0.1784073,6.34665986,12.3,,,
3.245536832,0.042551911,11.75137393,9.8,63.43,,
2.991987149,0.08941452,15.16335682,9.9,58.75,,
2.216153772,0.152826624,5.323737776,11.65,21.33,0.85,
2.894177613,0.085103732,11.78309912,9.5,,,
2.799770716,0.160863054,19.56294994,9.76,62.73,0.709,0.269
2.47321515,0.146891673,13.40869729,10.69,24.37,0.82,0.35
3.543210856,0.090829832,18.79131326,8.95,116.44,0.689,0.279
2.93033457,0.152580004,9.209908554,10.3,47.07,,
3.133837912,0.175728222,18.34408132,8.4,83.17,,
2.197227558,0.171208226,5.807067745,11.9,,,
2.459003977,0.213812892,25.2102748,8.76,76.61,0.741,0.368
2.227948291,0.139419898,5.54530399,11.7,,,
2.365084999,0.235547255,11.09364881,11.2,33.23,,
2.380800217,0.201617295,5.134033965,11,28.1,,
2.864971536,0.188703678,12.06466236,10.7,20.44,,
2.772479199,0.084946159,8.158696112,11.3,27.65,,
2.621736912,0.106557725,11.57796229,11.19,23.89,0.8,0.3
3.170150784,0.182728479,16.3351087,10.6,58.48,,
2.691070574,0.192129138,7.29612092,11.7,,,
2.614647876,0.196952781,14.47439694,11.5,32.47,,
2.937391188,0.157401899,8.993711464,9.37,85.49,0.72,0.34
2.700142163,0.078908939,21.07825104,8.33,54.34,0.85,0.454
2.982563292,0.180851408,16.33008378,10.3,48.48,,
3.224317259,0.085796282,14.58224602,9.54,67.57,0.722,0.401
3.135374006,0.15077933,17.64741445,10.1,66.49,,
2.238727941,0.113018193,3.911521194,12.1,,,
2.432930607,0.142172469,15.31653228,11.4,36.48,,
3.176475357,0.226844833,11.47417265,9.26,45.27,0.7,0.218
2.419788939,0.091113484,8.121600616,10,,0.673,0.328
2.367947774,0.165987798,5.537856117,11.8,21.82,,
2.746249875,0.219285535,14.07485718,10.3,53.35,,
2.219059556,0.146151106,4.023935241,12.9,7.87,,
3.131390812,0.177688192,2.36922253,10,39.56,,
2.231410826,0.217870219,3.697364975,11.83,,0.936,0.526
3.148102199,0.195213632,2.669297707,10.8,26.79,,
2.246472127,0.17755023,2.587709683,12.14,,0.93,0.54
3.357730214,0.176761741,6.215099239,9.55,87.21,0.58,0.363
2.785029001,0.19322792,6.623767128,11.55,,0.703,0.31
3.157092323,0.172541039,10.57526443,10.3,,,
3.117882455,0.211918254,12.11026558,9.77,69.21,0.783,
2.63509293,0.163220386,32.89951376,10.13,25.47,0.809,0.389
3.116860844,0.143711966,1.432430356,10.42,43.75,0.667,0.336
2.751274825,0.250370604,6.708565453,9.8,26.9,,
3.031433373,0.163317753,8.657414435,11.3,,,
3.006947147,0.193870576,10.68938556,9.7,69.17,,
2.372193282,0.158164694,23.46971605,11.6,15.03,,
2.209312138,0.173690507,4.10313763,11.46,12.2,0.87,0.554
2.989031195,0.246970412,10.0330121,9.2,81.61,,
2.785665797,0.18997996,8.666908938,10.3,28.33,,
3.129375824,0.17189516,1.169203074,9.94,58.03,0.625,0.31
2.594452037,0.289239539,10.6900735,11.1,17.33,,
2.298200384,0.204814539,5.962975031,12.6,,,
2.918418649,0.082706875,14.79596263,9.7,73.73,,
3.989226503,0.18692634,5.628674024,10.71,47.08,0.834,
3.184373057,0.21648435,4.497388614,10.2,57.42,,
2.248721776,0.165620236,3.024274282,12.9,,,
2.693093079,0.092812572,10.98608794,11.3,37.82,,
2.905185347,0.100674356,2.603127494,11.52,,0.819,0.41
2.24723336,0.137675356,7.98211658,12.49,,0.9,0.505
3.049556529,0.120404475,9.049567469,10.9,,,
3.151530868,0.28366017,21.46990831,9.8,53.63,,
2.718377548,0.131179523,14.4095895,9.91,23.43,0.867,0.441
2.225434534,0.168994241,5.415111715,12.1,11.97,,
2.864463776,0.137589125,11.59449012,10.26,27.77,0.869,0.372
2.463136427,0.204309915,2.295734939,12.57,19.51,0.621,0.227
2.559762747,0.271684281,5.031655046,12.4,,,
2.641199305,0.160868227,13.77638644,10.05,63.75,0.669,0.298
3.057057195,0.234679257,8.371580769,9.5,75.65,,
3.215133026,0.112173406,15.80847469,9.6,51.6,,
2.533593787,0.110093909,5.46001231,10.3,18.39,0.912,0.468
2.834386169,0.031167636,2.559626138,10.41,26.49,0.845,0.425
3.199065135,0.100825998,7.713054707,9.22,80.53,0.74,0.25
3.11759921,0.028638062,15.19920115,9.67,65.67,0.712,0.37
3.199076314,0.234612953,21.64438346,9.73,78.73,0.677,0.252
3.159054485,0.134166358,10.10122016,9.8,36.82,,
2.742920069,0.201141998,15.90787186,7.85,86.19,0.915,0.532
3.093787779,0.204022188,2.066265322,10.57,28.87,0.62,0.33
3.067219611,0.23410594,13.64683926,9.9,32.5,,
3.156517664,0.095108969,14.87602308,9.58,73.87,0.744,0.267
2.802257709,0.197525973,9.093609335,9.03,31.91,,
3.13301399,0.201869782,14.81384694,9.4,50.94,,
3.143126035,0.233622138,8.904268899,9.3,43.67,,
3.143832931,0.235147147,1.574771761,11.2,25.91,,
2.659702662,0.249997416,14.69953557,11.8,12.86,,
2.669488242,0.214771718,8.778924888,11.5,18.46,,
3.144341614,0.156297975,2.06976103,11.12,31.41,0.66,0.37
3.028686352,0.085079974,10.84250622,10.8,27.33,,
2.860161043,0.046110491,1.775357603,11.8,,,
2.52950619,0.115045486,15.39567306,10.3,24.42,0.86,0.42
2.616603094,0.166356861,13.05138114,10.3,31.62,,
3.087507576,0.140368634,0.660784582,10.88,29.53,0.686,0.392
2.667916276,0.182846937,10.506209,12,18.7,,
3.122286582,0.211238231,15.50206962,11.9,38.16,,
2.614026718,0.215563417,9.75497432,11.1,17.9,,
3.172742294,0.2569692,20.56900449,9.6,47.78,,
3.210054502,0.127353863,9.296683862,9.77,74.67,0.689,0.265
2.789704368,0.152503238,10.75656092,11.1,32.13,,
3.140187852,0.159265282,1.838118972,10.2,,,
3.401242713,0.087072909,2.978228501,9.99,71.6,0.72,0.12
3.167337888,0.113281869,19.06747735,9.7,57.82,,
3.153369686,0.352373784,10.91981621,11.2,29.56,,
2.709066378,0.111055989,2.542413353,11.5,,,
3.091321524,0.079261709,8.937568931,10.4,38.64,,
2.931190249,0.100529913,3.911139049,10.4,43.47,,
2.480500679,0.135574865,4.033087957,12.41,21.12,0.693,0.189
2.684635919,0.20808953,11.89786008,10.12,31.93,0.755,0.37
2.802173722,0.200004663,2.268551325,12.1,,,
3.206640636,0.083044342,9.462181423,9.03,96.94,0.693,0.32
2.218947282,0.12792134,6.037886697,12,,,
2.60578629,0.07824687,7.929295337,10.9,37.65,,
2.539710664,0.246356026,7.647803122,10.62,16.42,,
1.911694782,0.071089896,26.97917689,12.63,8.37,0.953,0.513
2.790066785,0.043409934,4.059695392,11.9,,,
2.73846441,0.284773764,15.86984385,8.98,99.39,0.656,0.23
2.805640535,0.17426587,21.05428691,10.5,26.39,,
3.168186284,0.102829727,10.07687555,9.76,58.27,0.764,0.493
2.865005653,0.225595907,16.0920089,10.6,41.36,,
1.979274588,0.039412668,26.86300008,12.55,,0.714,0.294
2.25365108,0.182390913,5.400930847,13.3,,,
3.151111922,0.131596235,1.254295109,10.6,32.2,,
3.403893295,0.107512047,9.397714532,9.43,71.38,0.684,0.276
2.890640593,0.026562312,2.42743823,10.88,20.78,0.787,0.39
3.120990109,0.121787383,14.781279,10.3,64.13,,
3.046964946,0.056289004,17.6356296,9.56,75.47,0.68,0.325
3.128910067,0.143281598,9.478090293,10,54.67,,
3.002319012,0.11480979,10.64377485,11,24.76,,
2.291712073,0.264501963,3.977330073,12.2,8.08,,
3.145224577,0.195564792,18.03176767,10.3,50.69,,
2.254502852,0.191640434,5.900827344,13.6,,,
3.976120248,0.220574179,9.188700962,10.82,58.3,0.768,0.232
2.679932679,0.058934948,4.555081875,11.1,36.7,,
3.110208315,0.193475484,16.6939666,10.4,35,,
3.07509292,0.140273489,13.89990722,9.9,57.27,,
3.234485094,0.092334742,20.68111028,9.8,73.64,,
3.09287161,0.04275725,8.933533098,9.79,31.6,0.9,0.455
2.578665178,0.142763948,4.253786027,10.9,15.2,,
2.358884632,0.158849262,0.264212241,12.9,,,
2.982117044,0.066079204,7.901020986,10.2,,,
2.240775573,0.192530076,5.664897956,11.86,,0.913,0.541
2.731710246,0.181284896,15.80437795,9.75,70.16,0.709,0.309
3.097759065,0.132146352,15.07650066,12,50.69,,
2.626169852,0.175969337,12.51410939,12,,,
3.220508656,0.09640368,23.43937107,9.9,67.21,,
2.235585304,0.143673005,4.695790405,11.97,,0.9,0.54
2.615247995,0.0949527,8.335500329,12.4,,,
2.922094042,0.136855462,10.85091059,10.3,45.47,,
2.198533343,0.207473606,5.272590962,12,,,
2.230330597,0.178032133,5.427226999,11.7,,,
2.894235047,0.246977276,3.518594145,10.96,40.47,,
2.196138094,0.187645275,3.6914072,11.98,,0.88,0.5
2.642652236,0.18691248,10.09240378,10.7,,,
2.239200311,0.201285345,5.918548416,12.7,,,
3.130142711,0.209468136,2.49856344,12.09,,0.676,0.337
3.005975556,0.066709161,5.6024238,9.85,55.1,0.72,
2.313860564,0.040471617,5.97495964,11.38,17.75,0.85,0.36
2.544434511,0.175982756,9.501695721,10.5,18.66,,
2.40188829,0.209644445,4.823997059,12.5,,,
2.872762197,0.188756412,10.55857402,10.99,,,
2.907141037,0.095167417,5.48421569,11.2,,0.85,0.42
3.126664108,0.109938953,13.57147075,9.3,39.5,,
3.2301005,0.07939569,16.96681932,10.6,36.39,,
2.800797142,0.109972694,5.372471716,10.1,50.29,,
3.161958263,0.242464654,8.027988291,10.5,45.05,,
3.177820652,0.194280686,1.606854881,11.9,35.73,,
3.152916456,0.175937813,0.801891288,10,47.82,,
3.012520246,0.113945476,11.52280516,10.15,35.52,0.765,0.37
2.473449938,0.145293038,3.319549203,12.3,22.63,0.629,0.25
2.391493501,0.198450823,5.401435989,12.2,,,
2.269927767,0.137804505,7.371535609,11.8,,0.889,0.49
2.872654389,0.046768294,1.177995096,11.2,20.7,0.8,0.393
2.419940241,0.257935274,4.586032732,12.2,23.28,0.624,0.206
3.097275628,0.147129079,4.204654177,11.3,37.89,,
3.120579966,0.181202856,1.852196315,10.41,43.01,0.705,0.315
2.328305055,0.182595815,5.131157124,12.6,,,
2.691799481,0.130552554,3.889566534,10.78,27.19,0.77,0.27
3.184367479,0.045707444,6.62875271,9.4,69.95,,
3.1669007,0.056418435,8.354115348,9.3,66.27,,
3.012225305,0.095266441,10.06361377,9.73,31.75,0.823,0.37
2.201019445,0.196234763,7.650268997,11.39,,0.947,0.594
2.214392011,0.127502772,3.727122088,11.6,12.92,,
2.359611665,0.219794621,21.50649459,12.49,,0.693,0.224
3.420265519,0.062085325,1.15583096,10.6,31.98,,
2.899423727,0.083317487,5.388644738,10.82,46.17,0.84,0.33
3.130407508,0.270743146,25.21169336,8.83,116.73,0.679,0.356
2.545232879,0.132812696,14.02731738,11.9,18.05,,
3.0263651,0.024399268,10.01242271,10.42,31.52,0.72,0.37
2.603383845,0.191565301,9.484745157,10.3,45.83,,
2.641752766,0.294421138,1.533067961,11.7,21.08,,
2.689093217,0.119304386,13.37528402,10.2,24.73,,
3.190266661,0.269153458,11.73769742,10.4,29.39,,
2.902844444,0.066152236,1.034794245,11,,,
3.230480477,0.077897956,21.42376279,10.1,37.86,,
3.068006301,0.114010717,15.79094689,9.4,39.27,0.724,0.424
1.933626327,0.09469489,17.90259711,12.25,,0.731,0.242
2.63079544,0.342579997,6.440908383,12.5,22.1,,
3.009548672,0.105326277,10.96796632,10.09,37.03,0.776,0.419
2.596868247,0.125876304,13.0684981,12,,,
3.182572986,0.125705707,7.075606176,9.1,79.17,,
2.427643653,0.256315434,24.93007984,11.91,25.61,0.681,0.308
3.232561432,0.099646523,4.138315221,10.06,66.53,0.604,
2.217905565,0.242161573,5.853577405,11.8,,,
2.996636954,0.097152538,3.885834687,10.67,,0.639,0.23
3.020881637,0.103227721,8.998007301,10.05,35.76,0.797,0.447
3.108640765,0.143298798,13.28384206,9.4,38.5,,
3.094776824,0.073103027,10.74068417,9.9,62.2,,
3.103484779,0.169419759,15.26582163,9.3,68.82,,
2.921209512,0.23058902,16.52714224,9.7,39.12,,
2.24822119,0.197837648,4.343531878,11.9,,,
3.208974899,0.04825145,13.99018641,9.5,77.2,,
2.611280376,0.154902966,7.857535768,11.2,31.49,,
2.21651046,0.155089415,4.047289084,12.8,,,
2.547179734,0.156885003,6.161865138,11.8,,,
2.6064689,0.257341349,4.738651902,11.1,12.01,,
2.225172477,0.15645252,6.420562182,11.7,,,
2.925933937,0.032921465,7.786942886,10.67,24.65,0.702,0.223
3.126885166,0.218404836,3.04205197,11.2,,,
2.271732589,0.146861398,6.504063819,12.1,11.96,,
2.594019841,0.26500995,14.75253676,10.95,46.84,0.7,0.3
2.787139759,0.046698835,1.014685352,10.7,34.69,,
3.022936208,0.079826799,8.616709307,10.2,34.76,0.78,0.41
2.229928002,0.197191923,2.166763417,12.1,,,
2.68366507,0.277732837,7.214919952,10.6,,,
2.186026513,0.186786466,5.376931254,12.22,,0.88,0.51
2.665950139,0.115468962,4.539951065,10.2,50.64,,
2.564452435,0.256119864,8.983198161,11,25.28,,
2.424190153,0.097385146,4.316476798,10.74,23.69,0.95,0.35
3.148516254,0.070978762,13.99130635,11.3,,,
2.770592234,0.113516514,14.13717556,10.28,27.75,0.916,
2.270704064,0.164869787,4.276441614,13.9,9.5,,
3.185724775,0.084732212,2.102047189,10.3,,,
3.752523114,0.095570478,9.7406233,10,57.59,0.706,0.249
2.42356661,0.119674112,6.208001199,11.1,23.25,,
3.044635797,0.254195489,17.06449112,9.8,31.14,0.69,0.247
2.271347069,0.231500462,3.880458343,12,,,
3.015379661,0.112253054,10.84937806,10.15,33.23,0.868,0.444
2.898642918,0.093376434,11.75028413,10.57,55.57,0.69,0.25
2.191054343,0.204070588,2.389332386,12.7,,,
2.404652161,0.277578044,6.56015021,12.7,,,
2.426394924,0.041022898,5.081145736,11.3,15.69,,
2.196423135,0.160312606,3.335061968,12.1,,,
3.400773344,0.070952753,4.555338338,10.51,61.08,0.658,0.229
2.463792527,0.163991273,6.592494105,11.5,11.64,,
2.236836062,0.046205377,1.397770335,12.4,,,
3.183432588,0.143777159,9.543482175,10,,,
2.563197399,0.11366942,14.83541979,10.8,19.06,,
2.379598498,0.059198751,13.02949634,11.55,29.98,0.68,0.36
2.559722605,0.118830258,14.96653139,11.1,,,
3.170127084,0.086581358,9.375848468,11.6,30.37,,
3.922190964,0.110078995,1.887614556,9.44,44.6,0.761,0.226
3.217520178,0.047756348,9.026028632,10.6,29.11,,
2.306154864,0.19625138,25.18787581,12.8,,,
3.126059755,0.212904379,12.80853173,10.3,48.82,,
2.536714797,0.208039832,18.92156516,8.8,28.74,,
3.407948335,0.076013613,5.723254354,9.85,63.12,0.743,0.196
2.552075672,0.217957338,12.73139785,12.53,10.61,0.86,0.47
2.317975984,0.154599972,4.049849379,13,,,
3.179756195,0.191251564,3.075736957,9.9,70.13,0.678,0.255
3.02301248,0.112826153,10.08968189,12,16.21,,
3.213643822,0.067519807,16.30994496,10.2,,,
2.692621462,0.141574312,6.647377884,10.9,30.65,,
3.350303663,0.03126285,15.06873486,9.3,91.98,0.668,0.244
2.681093918,0.183316104,6.947816194,11.81,19.09,,
2.617150896,0.173138842,8.703981715,12.9,,,
3.985865997,0.158155005,7.199089218,9.14,97,0.682,0.216
2.663949228,0.196961418,5.604766843,11.5,,,
2.259787525,0.117031646,9.388439273,11.3,14.26,,
2.384066661,0.130535764,2.801026101,12.1,17.9,,
2.667659773,0.071822992,11.31119308,11.1,,,
2.237782603,0.105241615,5.701315747,12.09,,0.923,0.514
3.021001336,0.104442312,10.73793719,9.2,35.56,0.79,0.43
2.64121122,0.221254438,10.71676844,11.3,31.83,,
2.190452386,0.180351287,4.817978179,11.7,12.4,,
2.929452178,0.116181594,9.867129539,10,55.88,,
2.431502442,0.131383295,3.168716986,12.4,17.45,,
2.893491447,0.04904039,18.47900412,10.6,42.09,,
2.365394442,0.258273984,23.901195,12.92,,,
2.646641633,0.123304782,14.13442437,12.2,,,
2.912906218,0.093605082,10.87586121,10.2,55.39,,
2.256973539,0.201621203,7.196174156,13.7,,,
2.653376969,0.179907225,17.66924676,10.26,29.17,,
2.885880939,0.230197634,12.98460775,10,47.5,0.74,
3.018721065,0.027477313,8.790559505,10.36,31.25,0.76,0.33
3.070668833,0.104327985,4.588819266,10.5,39.52,,
2.697546271,0.041144116,7.006686376,11.4,34.86,,
3.991965794,0.166148298,3.335641397,10.6,54.93,,
2.888515235,0.246576413,5.958490056,11.2,35.18,,
2.534786711,0.273934272,8.862257506,13.6,,,
2.864696128,0.055392343,13.01561394,11.8,,,
3.023082169,0.085564859,10.36031002,11,22.93,,
3.168273607,0.130458451,6.935113227,10.6,,,
3.009419957,0.059393751,11.27130662,9.91,33.65,0.83,
2.926684603,0.160965798,12.76264653,10.6,38.24,,
3.953176903,0.191826817,7.589257304,9.54,82.13,0.693,0.215
3.137247407,0.127953965,13.07991536,10.8,33.2,,
2.709831113,0.118978836,9.83502945,10.9,35.29,,
2.57827476,0.131148057,15.92091129,11.14,,0.9,0.459
2.231875676,0.180094666,7.60236319,13.49,,0.903,
2.352341721,0.155105586,5.150142646,12.5,,,
2.262780631,0.109386316,3.157403125,12.9,,,
2.213398453,0.124554251,4.414138466,11.94,11.43,0.913,0.514
3.002908489,0.071480195,11.37500703,11.72,,,
2.799319954,0.247056457,19.62698347,10.3,20.84,,
2.870052854,0.057413451,2.544724899,10.58,,0.84,0.405
2.304069117,0.198579921,7.882299878,11.36,13.94,0.929,0.441
2.233077076,0.074336907,3.07488755,12.1,,,
2.582948378,0.111497116,9.846584176,11.1,16.39,,
3.230662409,0.188854517,16.38622634,10.1,41.82,,
2.769013581,0.040761505,3.283445816,11.5,,,
3.230882351,0.158140463,1.022047441,11.1,27.65,,
2.573279192,0.177598231,10.49595872,12.8,,,
2.668633747,0.086899457,11.48979425,11.6,22.52,,
3.182353173,0.133469499,10.35924854,10.2,33.13,,
2.554982397,0.056455548,5.607385459,11.3,33.5,,
3.014555143,0.088570794,8.517987543,11.5,25.7,,
2.430274718,0.242455057,13.16014615,11.93,22.34,0.785,0.383
2.611586781,0.078154074,9.735552492,10.7,39.81,0.61,0.25
2.66546366,0.141743157,12.15864162,11.9,19.96,,
2.659334221,0.234354755,1.662431459,12.5,15.94,,
2.871418014,0.17081525,10.15111473,9.7,58.85,,
3.186676811,0.103634195,23.54737583,9.45,83.05,0.75,0.29
2.736022383,0.190309215,10.17043725,10.1,47.7,,
3.096190046,0.046234903,13.28522407,9.68,70.07,,
2.343718638,0.098271182,8.695496581,11.3,30.95,,
2.896485817,0.079930808,2.888556294,9.89,26.84,0.847,0.474
2.620676246,0.307758891,16.05013611,10.9,18.11,,
3.130916073,0.173913647,1.77776667,10.52,35.97,0.68,0.29
2.720895791,0.01466064,9.144181782,9.7,,,
2.224259741,0.076164431,4.874331041,11.54,12.41,0.883,0.484
2.549893233,0.273028062,15.17587549,12.26,21,,
2.718850763,0.156424771,6.045653499,10.5,,0.689,0.233
2.69535103,0.20695878,33.84064735,10.89,17.39,0.89,0.425
3.162602133,0.211963028,1.347430648,11.5,26,,
3.140049199,0.034645412,7.073888449,10.8,45.48,,
3.14346447,0.173208919,8.547874991,10.2,32.52,,
3.889973579,0.077580232,4.174652339,9.66,69.22,0.737,0.239
2.487974091,0.082523108,3.921672425,11.5,,0.63,0.32
3.189853288,0.038812271,7.704782461,10.5,44.47,,
3.100663045,0.131376096,2.385447702,11,33.13,,
2.612994418,0.039020281,8.01158959,11.9,,,
3.138269133,0.177891767,2.426815674,11,31.28,,
3.001480416,0.007724613,13.14672828,10.25,51.49,0.74,0.38
2.665774732,0.187717567,29.26913208,10.5,49.29,0.727,0.321
2.86830713,0.154504437,24.97599535,9.1,74.74,,
3.023207766,0.076143493,9.511972086,11,,,
3.360723079,0.049904219,17.1804832,9.41,73.34,0.732,0.317
2.470329645,0.178709847,4.78100891,12.1,23.41,,
3.992727324,0.10385243,4.406315796,9.12,94.1,0.663,0.228
3.905958874,0.100197516,2.757501028,8.82,105.19,0.775,0.271
2.234699407,0.207305092,5.988693567,12.5,,,
3.14135121,0.121061426,6.67932363,10.6,44.33,,
2.783439538,0.152905583,8.421463631,12.8,,,
2.393841034,0.161518025,5.411271558,12.8,,,
2.229059252,0.112543417,4.39849752,11.82,,0.895,0.525
2.679269446,0.16920539,12.87808443,10.72,28.65,0.698,0.304
3.177792391,0.095013599,23.27521476,10.4,30.63,,
2.699056352,0.239248499,6.965727658,11.05,27.64,0.73,0.378
2.405276838,0.26286451,10.85394891,10.8,,,
2.369381969,0.211799104,5.726998697,12.51,,0.76,
3.414253175,0.050967871,6.459682567,10.33,50.83,0.671,0.36
2.555955247,0.207991596,7.445995456,11.6,21.65,,
3.114873317,0.125383091,18.04400804,10,53.07,,
3.181127857,0.22145364,8.908632915,10.3,26.87,,
2.645437984,0.171027691,10.87604407,10.24,36.81,0.768,0.353
2.990731967,0.053970653,5.693792957,10.6,40.83,,
3.026932293,0.087516616,9.729802314,10.88,,0.85,0.43
3.012446413,0.064712918,9.817840279,11.07,22.3,0.85,0.36
2.887037113,0.064047962,7.571871288,11.41,,0.71,0.3
2.858690505,0.063079077,1.61623795,10.73,25.62,0.8,0.38
2.366371925,0.153126036,5.587984912,12.5,,,
3.018512596,0.091341281,9.099842434,10.33,26.78,0.835,0.395
2.542298727,0.058314638,2.150587129,11.3,,,
2.687289868,0.234077846,8.728868307,10.2,34.71,,
3.39214451,0.117631928,2.876472636,10.6,48.03,,
2.417057345,0.142666203,4.106937601,10.9,25.25,,
3.019145944,0.073275874,9.003783991,10.8,,,
3.126439585,0.150535579,5.489639502,10.7,40.04,,
2.802119542,0.190129237,7.872372277,11.4,,,
2.781189188,0.007322398,9.548424923,10.9,27.84,,
2.768058683,0.268977116,34.03674275,10.8,22.77,,
3.115156429,0.17565503,2.597101467,10.6,,,
3.229648238,0.105866618,19.49732924,9,85.45,,
3.196782401,0.116298303,18.99052113,8.6,42.94,,
3.010749998,0.075818426,2.318741109,10.65,,0.7,
3.146360814,0.094739951,14.93974896,9.71,67.14,0.853,0.398
2.250614117,0.096612986,3.94832855,12.25,,0.876,0.55
2.908148259,0.013632186,5.571510197,10.8,43.16,,
3.204021894,0.151375651,10.28171306,10.2,57.15,,
2.427140686,0.043423993,2.831302559,12.2,14.06,,
3.093932618,0.216523276,21.90140466,10.8,36.28,,
2.655200938,0.208696082,12.53483796,11.8,,,
2.295305622,0.174267347,5.241882751,12.68,11.31,0.87,0.46
3.206724245,0.077693517,7.071094996,9.8,63.5,,
3.198186803,0.238384303,20.56806142,9.91,,0.724,0.285
2.307492719,0.203997419,24.65938559,11.9,13.02,,
2.98564069,0.206591945,2.799731436,11.1,,,
2.987316563,0.232327785,19.85313156,10.4,39.72,,
2.939534549,0.168776122,9.50897115,10.28,30.8,0.83,0.47
2.422217838,0.235254807,23.36147366,12.7,,0.887,0.321
3.227921996,0.14823795,18.78845339,9.9,58.44,,
2.185992007,0.163107072,4.518853097,12.7,,,
2.539996689,0.256010534,7.421885533,11.5,10.87,,
2.6673282,0.223002347,15.99470642,10.92,22.47,0.785,0.475
2.780174109,0.161739407,5.816669838,12.1,25.14,,
3.502141929,0.135664547,5.767833754,10.31,57.11,0.695,0.21
2.616265469,0.173305866,14.47009039,10.9,,0.873,0.443
3.169671675,0.075249288,15.95703017,10.17,55.08,0.67,0.17
3.098384439,0.189486596,3.100359487,10.14,32.08,0.64,0.35
3.067909758,0.12716065,2.452626783,10.2,44.1,,
2.632221373,0.133960062,14.64498579,11.4,,,
2.914596087,0.094633989,11.45491993,11.3,29.82,,
2.240123303,0.154328631,2.54598529,12.9,,,
2.849796175,0.064018855,3.197436235,10.66,20.99,0.81,0.366
2.910818407,0.098548255,17.99408195,11.06,38.86,,
2.26372624,0.112538117,4.818564587,12.3,,,
3.022737868,0.058249637,8.693599292,10.81,22.96,0.79,0.425
3.184616662,0.131607184,0.41733116,11.1,25.87,,
2.74193809,0.079246334,13.08574187,10.58,27.49,0.7,0.262
2.288411791,0.203658944,20.92407321,11.35,18,0.713,0.301
2.568345788,0.114134545,6.03600225,11.1,24.41,,
2.247826121,0.120135034,5.658446873,12.8,,,
3.988666761,0.183209594,11.3993549,9.73,71.82,0.719,0.286
2.627999062,0.178832496,13.84631005,11.25,,0.84,
2.570932913,0.067525715,11.86549962,11.6,32.4,,
2.794180104,0.134779017,6.58146681,11.4,,,
3.012519896,0.157240755,10.06018998,10.2,,,
2.856027456,0.090162806,2.939213498,10.78,23.35,0.854,0.373
3.197813043,0.063822052,9.665947959,9.6,64.91,,
2.777509708,0.067132887,3.756712023,11.1,20.8,,
3.008871326,0.095433944,9.203467939,10.4,33.75,,
3.125861183,0.21695778,5.956545306,11.3,48.75,,
1.853609075,0.044706197,22.82449986,13.05,,0.713,0.255
3.084232284,0.046067135,7.959414307,9.9,64.73,,
3.182583515,0.158884802,13.98425878,11.03,50.16,0.726,
2.476160626,0.166726118,2.172413168,12.2,19.96,,
3.118774951,0.064344143,11.10181476,10.5,51.98,0.71,0.355
2.633352425,0.215695956,22.81398392,11,29.84,,
3.082075396,0.128132249,21.58500353,10.8,30.25,,
3.21497482,0.371650568,24.22551365,11.18,29.9,0.72,0.36
2.902832903,0.069433433,1.102367103,11.6,,,
3.010878392,0.069149572,11.49425768,10.6,,,
2.248735737,0.123282834,5.078435835,11.7,,,
2.873787217,0.142011361,9.474805447,10.45,27.55,0.71,0.18
2.343692904,0.131649012,22.49318729,13,,,
2.525433887,0.061524503,14.81681184,10.92,19.29,0.86,0.36
3.120990652,0.211659894,14.25290515,10.7,41.24,,
2.250400143,0.170210994,4.805209393,13.8,,,
3.20189112,0.117147192,16.42711961,11.4,,,
2.76720388,0.146145989,16.45592763,12.2,23.85,,
3.418799336,0.315305572,38.93757325,11.2,,,
2.446883464,0.070401667,5.820799531,11.6,,,
2.227284668,0.216045392,3.551534443,12.2,,,
2.261117289,0.0928633,6.024441126,13.1,,,
2.374726752,0.150197605,3.590693115,12.1,18.18,,
2.52444656,0.091520733,15.60379554,11.05,,0.83,0.44
3.151933423,0.101305313,10.40790217,11.6,,,
2.489008144,0.180742926,4.693646796,12.29,,0.66,0.34
2.220411909,0.131778312,1.561814802,12.2,,,
3.076936155,0.191261959,0.052284229,11.5,22.32,,
2.676009666,0.181945659,11.8524667,9.7,27.51,,
2.740862641,0.104854597,6.928402611,10.7,22.19,,
2.364980474,0.286420206,11.82151397,12.6,,,
2.258293318,0.208321958,5.531411953,12.9,,,
3.018638092,0.093412354,11.17866225,8.9,25.22,0.86,0.49
2.86495933,0.015776485,2.043635982,11.64,,0.81,
3.443254017,0.032416602,19.91268876,9.4,101.58,0.685,0.189
2.54778433,0.164165455,7.593871521,12.07,,0.897,0.433
2.609005598,0.200605886,12.26091893,11.72,26.44,0.757,0.258
2.432877879,0.110370705,5.850305736,12.2,,,
2.438319257,0.07676095,2.671165246,12.5,,,
3.206422475,0.059278174,8.646269252,11.4,,,
2.247753956,0.165656761,4.493670701,12,10.95,,
2.682932494,0.253923976,3.511054375,11.47,,0.69,0.21
3.15950404,0.105866068,11.82586276,10.1,29,,
2.215876459,0.166148401,6.51036442,13.8,,,
3.122190382,0.23600116,15.5468916,11.5,,,
2.226105323,0.180193453,7.290694515,12.25,,0.88,0.48
