#a,e,i,H,diameter,BV,UB
3.067901713,0.152154948,12.99649415,7.84,136.04,0.711,0.374
3.052594509,0.138727538,15.96688374,7.67,170.02,0.775,0.337
2.671136921,0.254718278,11.78168244,7.63,82.83,0.716,0.226
2.68773396,0.185762308,15.57705507,8.84,104.45,0.749,0.375
2.663724645,0.196459264,13.85267551,9.43,69.04,0.703,0.322
3.087859211,0.168179498,6.430031711,7.67,88.66,0.838,0.363
2.583107725,0.140905369,10.20031227,8.33,65.84,0.854,0.426
2.66002119,0.253063813,5.178826245,9.26,83,0.726,0.371
2.701670532,0.081402297,5.419137523,7.66,91.2,0.853,0.441
3.149533375,0.155834815,2.788840896,8.27,123.68,0.688,0.34
2.373526424,0.177410043,21.44102893,8.57,119.08,0.693,0.317
3.176104046,0.167267731,4.597488292,7.41,146.59,0.743,0.464
3.488372079,0.067099276,10.00183975,7.08,222.62,0.705,0.298
3.236576762,0.054985682,4.22107637,8.09,64.97,0.855,0.502
2.696876094,0.297354389,7.881719018,8.75,89.44,0.696,0.408
2.734633556,0.079619092,5.965514347,7.8,86.09,0.705,0.298
2.593457382,0.103616841,4.931972982,8.02,134.55,0.69,0.389
2.433472424,0.128869819,2.603810253,9.84,72.18,0.696,0.284
2.375924284,0.086219504,5.04235338,8.74,46.14,0.925,0.521
2.678350158,0.135914528,4.935277599,8.26,99.65,0.768,0.269
2.37985681,0.192090764,11.59983287,7.51,79.83,0.851,0.431
2.767183626,0.141486774,3.563321697,7.82,71.7,0.873,0.429
2.989980767,0.028706079,14.90359696,7.95,148.71,0.687,0.306
2.437419611,0.163380883,7.743388044,9.14,41.73,0.859,0.433
2.581627848,0.081229145,5.782468264,8.42,57.3,0.874,0.342
3.121812832,0.055183598,6.949032007,7.75,174.1,0.707,0.383
3.450089433,0.134406934,7.597156351,7.31,209,0.739,0.425
3.225067329,0.033654395,1.639244878,7.87,81.69,0.776,0.41
2.696085563,0.118485677,6.419403162,8.89,47.97,0.85,0.395
2.629466265,0.077203613,2.953598991,8.11,76.36,0.844,0.424
2.742434336,0.079863076,4.658387308,9.04,43.58,0.705,0.239
2.438940928,0.104833843,2.923894771,9.27,44.82,0.865,0.496
2.755397069,0.065879608,8.240406633,8.3,122,,
2.749927269,0.124475051,6.248874568,7.49,188.16,0.685,0.392
2.872331217,0.211045179,12.25712037,7.07,113,0.717,0.245
3.123936384,0.208622168,22.86596037,7.12,182.25,0.753,0.483
2.432008708,0.067820191,4.960386963,10.03,40.44,0.829,0.402
3.059679909,0.138729988,7.227214457,7.98,66.57,0.907,0.51
2.563297615,0.116600569,11.59550677,8.76,108,0.69,0.322
2.428108826,0.207304539,2.305434561,8.23,79.24,0.698,0.269
2.286723737,0.085190857,9.572076556,9.69,40.14,0.752,0.247
3.118043466,0.217228978,13.41324601,8.05,145.42,0.689,0.326
2.449287021,0.161595624,3.206367122,8.75,45.5,0.877,0.49
2.780626162,0.17547607,10.90962268,7.78,156.6,0.693,0.287
2.73281956,0.216491262,3.186603777,8.34,109.79,0.721,0.299
2.667607347,0.213584277,11.88964262,8.2,131.03,,
2.419761521,0.134935539,2.238426349,10.27,55.29,0.621,0.236
2.761224906,0.073525207,11.44763234,9.12,89.93,0.738,0.336
2.655220985,0.235087366,4.807633252,7.91,142.38,0.727,0.402
2.673064732,0.145133153,12.6372308,8.13,151.14,0.701,0.352
2.717861054,0.066047909,13.09505232,8.2,132.21,0.703,0.405
3.136918369,0.028581626,1.930464469,8.27,132.93,0.678,0.293
2.772347493,0.18451203,25.31203089,7.63,97.75,0.858,0.423
2.174483309,0.064772319,0.938431385,10.72,19.75,0.803,0.5
2.983256493,0.126683367,2.19304781,8.23,151.13,0.706,0.275
2.592440416,0.034820065,6.436611914,9.24,45.37,0.867,0.496
3.140592517,0.076686,12.11129234,8.33,,0.882,0.452
3.973122682,0.138680085,7.827682163,7.48,170.63,0.669,0.243
3.195780906,0.077180997,20.97419379,7.58,184.93,,
2.755881423,0.278431261,11.39070406,11.39,39.9,0.688,0.234
2.728372767,0.226665902,9.775794592,8.64,120.99,0.713,0.315
2.580893707,0.195483631,12.16222128,10.6,,,
2.869058961,0.052861053,1.001586546,9.27,35.37,0.859,0.394
3.102022572,0.108598716,6.130931672,8.12,124.97,0.7,0.38
2.727561397,0.064758494,3.824082961,9.08,81.24,0.718,0.363
2.379320993,0.136974623,9.054432952,9.15,44.19,0.719,0.208
3.019435679,0.178501345,6.096097957,8.83,99.1,0.747,0.374
2.367442765,0.19130592,4.813887772,9.47,72.63,0.717,0.341
2.633717125,0.344552577,24.46999553,8.89,104.87,0.684,0.326
3.125546988,0.084557204,11.22449893,7.65,154.78,0.722,0.291
2.686176728,0.209812644,12.02647723,9.89,,0.725,0.425
2.854355017,0.035565139,2.211325144,9.24,39.94,0.837,0.4
3.373401019,0.068599806,4.636518077,7.94,148.39,0.745,0.384
2.35818058,0.131178003,5.499914354,9.56,33.6,0.848,0.458
